name,count,average_score
anthropomorphic,2,0.032054313
webcomic,2,0.032054313
p,4,0.022772283
paws,2,0.070682161
air,2,0.070682161
urgent,2,0.395879965
bite,2,0.395879965
lovely,2,0.395879965
getting,6,0.037588135
licked,2,0.02974134
kassidy,2,0.016603517
words,2,0.016603517
shut,2,0.016603517
spinvox.com,2,0.016603517
ready,2,0.031156688
run,2,0.031156688
errands,2,0.031156688
strawberry,2,0.031156688
lemon,4,0.031156688
aid,2,0.031156688
grass,2,0.031156688
spike,2,0.031156688
item,2,0.031156688
per,2,0.031156688
store,2,0.031156688
cheezburger,1,0.142807332
friday,2,0.071491807
funny,1,0.142807332
captio,1,0.142807332
doubt,1,0.061891184
people,1,0.061891184
liked,1,0.061891184
centralized,1,0.061891184
landing,1,0.061891184
pages,1,0.061891184
igoogle,1,0.061891184
used,1,0.061891184
rule,1,0.061891184
yep,1,0.00664184
darn,1,0.00664184
cheshire,1,0.00664184
ps,1,0.00664184
congrats,1,0.00664184
jamieg,1,0.00664184
miss,1,0.00664184
hok,1,0.00664184
sad,2,0.026529904
hair,2,0.053023808
finger,1,0.105472972
bits,1,0.105472972
flavrr,1,0.105472972
nope,1,0.000574644
keep,3,0.005930543
lint,1,0.000574644
ae,1,0.000574644
strip,1,0.000574644
fine,2,0.023496306
itunes,2,0.001482589
wonky,1,0.000574644
wondering,1,0.000191322
part,2,0.000164982
basement,1,0.000191322
floor,1,0.000191322
crapping,1,0.000191322
get,4,0.021848218
better,1,0.000138713
opposite,1,0.000138713
fucking,1,0.000138713
twitchy,1,0.000138713
yappy,1,0.000138713
annoying,1,0.000138713
kittens,1,0.000138713
radio,1,0.002390533
network,1,0.002390533
dont,1,0.002390533
razz,1,0.002390533
nostalgia,1,0.002390533
pajamas,1,0.002390533
stop,1,0.002390533
talking,2,0.04149272
applesauce,1,0.002390533
lol,2,0.010348238
idea,1,0.014918076
wordz,2,0.014918076
yur,3,0.014918076
bed,3,0.009064562
safely,1,0.046417968
deposited,1,0.046417968
kennel,1,0.046417968
focus,1,0.007566524
maybe,1,0.007566524
working,1,0.007566524
gigawatts,1,0.007566524
coffee,1,0.007566524
needy,1,0.007566524
adhd,1,0.007566524
kryptonian,1,0.007566524
chatting,1,0.086169499
bethnan,1,0.086169499
chloe,1,0.086169499
play,1,0.086169499
feast,1,0.086169499
casio,1,0.086169499
refilling,1,0.086169499
chow,1,0.086169499
bowl,1,0.086169499
cy,1,0.080093841
coleman,1,0.080093841
pussy,1,0.080093841
glad,2,0.32175973
busy,2,0.040385595
week,1,0.000176283
fun,1,0.000176283
two,1,0.000176283
friends,1,0.000176283
town,1,0.000176283
harness,1,0.500927783
gave,1,0.114583288
pound,1,0.114583288
bath,1,0.114583288
aahh,1,0.114583288
times,1,0.114583288
ugh,1,0.005258842
left,1,0.005258842
enormous,1,0.005258842
dead,1,0.005258842
rat,1,0.005258842
porch,1,0.005258842
felt,1,0.015810793
quake,1,0.015810793
enough,1,0.015810793
determine,1,0.015810793
didnt,1,0.015810793
seek,1,0.015810793
cover,1,0.015810793
sleep,1,0.015810793
slept,1,0.015810793
thru,1,0.015810793
scrolling,1,0.005778401
missed,1,0.005778401
lunch,2,0.043186654
blinkin,1,0.034076148
cage,1,0.034076148
jacobsbignews,3,0.086275171
marathon,2,0.263702912
petting,2,0.263702912
eye,3,0.0571113
freshwater,2,0.050414178
pearl,2,0.050414178
gemstone,3,0.0571113
cross,3,0.0571113
necklace,2,0.050414178
stuff,2,0.013490253
yo,2,0.008224339
oomf,2,0.008224339
truthfully,2,0.008224339
fish,2,0.008224339
personal,2,0.142444958
favourite,2,0.142444958
parabens,2,0.080093841
ya,3,0.054080044
ninja,2,0.080093841
found,2,0.536585072
adorable,2,0.536585072
arrived,2,0.536585072
williamsport,2,0.536585072
microchipped,2,0.536585072
waking,2,0.006137806
leggoo,2,0.080093841
earning,2,0.017537085
mpoints,2,0.017537085
rewards,4,0.009275362
take,2,0.00130143
meat,2,0.00130143
menu,2,0.00130143
longer,2,0.00130143
acceptable,2,0.00130143
join,2,0.00130143
fight,2,0.00130143
twitter,2,0.00130143
day,2,0.080093841
stupid,2,0.006769665
haircut,2,0.006769665
going,3,0.004559324
try,2,0.006769665
make,5,0.01735575
grumpy,3,0.024604328
send,2,0.006769665
tech,2,0.006769665
jokes,2,0.006769665
repubs,2,0.125871783
toyed,2,0.125871783
dem,2,0.125871783
stupidity,2,0.125871783
yrs,2,0.125871783
n,2,0.125871783
weeks,2,0.125871783
full,2,0.125871783
fury,2,0.125871783
demorats,2,0.125871783
finally,2,0.125871783
b,2,0.125871783
unleashed,2,0.125871783
snapchat,2,0.006482882
makes,2,0.00101364
seniors,2,0.00101364
gets,2,0.00101364
meds,2,0.00101364
yet,2,0.00101364
obama,2,0.00101364
illegals,2,0.00101364
u,2,0.019530771
please,2,0.019530771
donate,2,0.019530771
help,2,0.019530771
stray,2,0.019530771
street,2,0.019530771
stolen,2,0.008608492
lying,1,0.004980563
chair,1,0.004980563
almost,2,0.004980563
sat,1,0.004980563
christ,1,0.004980563
para,1,0.01505843
quem,1,0.01505843
gostou,1,0.01505843
da,1,0.01505843
foto,1,0.01505843
anterior,1,0.01505843
segue,1,0.01505843
mais,2,0.00855544
outras,1,0.01505843
duas,1,0.01505843
fotos,1,0.01505843
scorpio,1,0.036972362
charming,1,0.036972362
vengeful,1,0.036972362
taylorswift,1,0.036972362
meredithgrey,1,0.036972362
watched,1,0.004622274
caneshoops,1,0.004622274
win,1,0.004622274
earlier,1,0.004622274
bbn,1,0.004622274
caliparination,1,0.004622274
asking,1,0.643343176
mum,1,0.643343176
joke,1,0.643343176
lady,1,0.643343176
chic,1,0.643343176
bitches,1,0.643343176
apres,2,0.00205245
bien,1,0.00205245
sur,1,0.00205245
eyes,1,0.00205245
goldorak,1,0.00205245
et,1,0.00205245
tout,1,0.00205245
cest,1,0.00205245
seulement,1,0.00205245
built,1,0.01736431
billys,1,0.01736431
hut,1,0.01736431
story,1,0.01736431
android,1,0.01736431
androidgames,1,0.01736431
gameinsight,1,0.01736431
whoever,1,0.060273654
decided,1,0.060273654
christmas,1,0.060273654
movie,1,0.060273654
bus,1,0.060273654
twice,1,0.060273654
gif,1,0.005094926
face,1,0.005094926
sucked,1,0.005094926
vaccum,1,0.005094926
polymer,1,0.186753806
clay,1,0.186753806
katzenklaa,1,0.186753806
via,1,0.186753806
husky,1,0.029526627
savanna,1,0.029526627
list,1,0.029526627
coming,1,0.796186785
weve,1,0.796186785
second,1,0.796186785
round,1,0.796186785
playoff,1,0.796186785
preview,1,0.796186785
conway,1,0.796186785
wampus,1,0.796186785
host,1,0.796186785
fayetteville,1,0.796186785
medium,1,0.070505543
necklacegarnet,1,0.070505543
onyx,1,0.070505543
finding,1,0.080594908
eavesdropping,1,0.080594908
wife,1,0.080594908
cousin,1,0.080594908
youre,1,0.09863783
family,2,0.000138642
around,1,0.000138642
without,1,0.000138642
dusty,1,0.000138642
